timestamp,elapsed_seconds,heart_rate_bpm,sensor_contact_supported,sensor_contact_detected,energy_expended_kj,rr_intervals_ms,raw_hex
2026-07-05T09:21:41.168+08:00,4.748,69,1,1,,,06-45
2026-07-05T09:21:42.141+08:00,5.72,69,1,1,,,06-45
2026-07-05T09:21:43.222+08:00,6.801,68,1,1,,,06-44
2026-07-05T09:21:44.661+08:00,8.24,68,1,1,,,06-44
2026-07-05T09:21:45.623+08:00,9.202,68,1,1,,,06-44
2026-07-05T09:21:46.590+08:00,10.169,68,1,1,,,06-44
2026-07-05T09:21:47.542+08:00,11.121,68,1,1,,,06-44
2026-07-05T09:21:48.502+08:00,12.081,68,1,1,,,06-44
2026-07-05T09:21:49.587+08:00,13.166,69,1,1,,,06-45
2026-07-05T09:21:50.542+08:00,14.122,69,1,1,,,06-45
2026-07-05T09:21:51.502+08:00,15.081,69,1,1,,,06-45
2026-07-05T09:21:52.464+08:00,16.043,70,1,1,,,06-46
2026-07-05T09:21:53.422+08:00,17.002,70,1,1,,,06-46
2026-07-05T09:21:54.405+08:00,17.984,71,1,1,,,06-47
2026-07-05T09:21:55.341+08:00,18.921,71,1,1,,,06-47
2026-07-05T09:21:56.421+08:00,20,72,1,1,,,06-48
2026-07-05T09:21:57.382+08:00,20.962,72,1,1,,,06-48
2026-07-05T09:21:58.341+08:00,21.921,72,1,1,,,06-48
2026-07-05T09:21:59.301+08:00,22.88,73,1,1,,,06-49
2026-07-05T09:22:00.263+08:00,23.842,73,1,1,,,06-49
2026-07-05T09:22:01.221+08:00,24.8,73,1,1,,,06-49
2026-07-05T09:22:02.182+08:00,25.761,73,1,1,,,06-49
2026-07-05T09:22:03.264+08:00,26.844,73,1,1,,,06-49
2026-07-05T09:22:05.183+08:00,28.762,74,1,1,,,06-4A
2026-07-05T09:22:06.622+08:00,30.202,74,1,1,,,06-4A
2026-07-05T09:22:07.588+08:00,31.168,74,1,1,,,06-4A
2026-07-05T09:22:08.542+08:00,32.122,75,1,1,,,06-4B
2026-07-05T09:22:09.623+08:00,33.202,75,1,1,,,06-4B
2026-07-05T09:22:10.581+08:00,34.16,75,1,1,,,06-4B
2026-07-05T09:22:11.542+08:00,35.122,75,1,1,,,06-4B
2026-07-05T09:22:12.503+08:00,36.082,74,1,1,,,06-4A
2026-07-05T09:22:13.461+08:00,37.041,74,1,1,,,06-4A
2026-07-05T09:22:14.422+08:00,38.001,74,1,1,,,06-4A
2026-07-05T09:22:15.384+08:00,38.964,74,1,1,,,06-4A
2026-07-05T09:22:16.463+08:00,40.043,74,1,1,,,06-4A
2026-07-05T09:22:17.423+08:00,41.002,73,1,1,,,06-49
2026-07-05T09:22:18.383+08:00,41.962,74,1,1,,,06-4A
2026-07-05T09:22:19.342+08:00,42.921,74,1,1,,,06-4A
2026-07-05T09:22:20.303+08:00,43.883,74,1,1,,,06-4A
2026-07-05T09:22:21.261+08:00,44.841,74,1,1,,,06-4A
2026-07-05T09:22:22.341+08:00,45.92,74,1,1,,,06-4A
2026-07-05T09:22:23.302+08:00,46.882,74,1,1,,,06-4A
2026-07-05T09:22:24.263+08:00,47.843,74,1,1,,,06-4A
2026-07-05T09:22:25.222+08:00,48.801,74,1,1,,,06-4A
2026-07-05T09:22:26.191+08:00,49.77,73,1,1,,,06-49
2026-07-05T09:22:27.143+08:00,50.722,72,1,1,,,06-48
2026-07-05T09:22:28.705+08:00,52.284,72,1,1,,,06-48
2026-07-05T09:22:29.662+08:00,53.241,72,1,1,,,06-48
2026-07-05T09:22:30.630+08:00,54.21,70,1,1,,,06-46
2026-07-05T09:22:31.581+08:00,55.161,70,1,1,,,06-46
2026-07-05T09:22:32.542+08:00,56.121,70,1,1,,,06-46
2026-07-05T09:22:33.502+08:00,57.082,71,1,1,,,06-47
2026-07-05T09:22:34.583+08:00,58.162,71,1,1,,,06-47
2026-07-05T09:22:35.543+08:00,59.122,71,1,1,,,06-47
2026-07-05T09:22:36.504+08:00,60.084,71,1,1,,,06-47
2026-07-05T09:22:37.464+08:00,61.044,71,1,1,,,06-47
2026-07-05T09:22:38.422+08:00,62.001,71,1,1,,,06-47
2026-07-05T09:22:39.382+08:00,62.961,71,1,1,,,06-47
2026-07-05T09:22:40.463+08:00,64.042,70,1,1,,,06-46
2026-07-05T09:22:41.422+08:00,65.002,68,1,1,,,06-44
2026-07-05T09:22:42.382+08:00,65.962,67,1,1,,,06-43
2026-07-05T09:22:43.343+08:00,66.922,67,1,1,,,06-43
2026-07-05T09:22:44.303+08:00,67.882,66,1,1,,,06-42
2026-07-05T09:22:45.262+08:00,68.842,65,1,1,,,06-41
2026-07-05T09:22:46.344+08:00,69.923,64,1,1,,,06-40
2026-07-05T09:22:47.306+08:00,70.886,64,1,1,,,06-40
2026-07-05T09:22:48.272+08:00,71.851,64,1,1,,,06-40
2026-07-05T09:22:49.225+08:00,72.805,64,1,1,,,06-40
2026-07-05T09:22:50.182+08:00,73.762,64,1,1,,,06-40
2026-07-05T09:22:51.267+08:00,74.846,64,1,1,,,06-40
2026-07-05T09:22:52.582+08:00,76.161,64,1,1,,,06-40
2026-07-05T09:22:53.182+08:00,76.761,64,1,1,,,06-40
2026-07-05T09:22:54.152+08:00,77.731,64,1,1,,,06-40
2026-07-05T09:22:55.581+08:00,79.161,64,1,1,,,06-40
2026-07-05T09:22:56.541+08:00,80.12,65,1,1,,,06-41
2026-07-05T09:22:57.505+08:00,81.084,65,1,1,,,06-41
2026-07-05T09:22:58.462+08:00,82.041,65,1,1,,,06-41
2026-07-05T09:22:59.542+08:00,83.122,70,1,1,,,06-46
2026-07-05T09:23:00.501+08:00,84.081,70,1,1,,,06-46
2026-07-05T09:23:01.462+08:00,85.041,67,1,1,,,06-43
2026-07-05T09:23:02.422+08:00,86.001,67,1,1,,,06-43
